,account_id,customer_id,account_type,opening_date,account_status,balance,credit_score
28,405-7755803-4729935,15728693,current,2024-07-30 19:44:00,closed,141349.43,574
29,404-5933402-8801952,15656300,saving,2024-07-21 8:26:00,inactive,59697.17,411
30,171-9040274-9291563,15589475,current,2024-07-23 7:04:00,active,0.0,591
31,403-7056319-0979561,15706552,saving,2024-07-27 6:18:00,inactive,85311.7,533
32,404-9632124-1107550,15750181,business,2024-07-23 10:17:00,inactive,110112.54,553
33,402-1465437-0579556,15659428,saving,2024-07-23 12:56:00,inactive,0.0,520
34,404-7774085-3780319,15732963,saving,2024-07-08 11:52:00,inactive,0.0,722
35,402-2764952-1492318,15794171,business,2024-07-14 5:25:00,inactive,134264.04,475
36,406-0272200-7784379,15788448,saving,2024-07-23 9:33:00,inactive,145260.23,490
37,403-4367956-2849158,15729599,business,2024-07-03 16:16:00,active,76548.6,804
38,403-4367956-2849158,15717426,saving,2024-07-03 0:58:00,active,0.0,850
39,403-4242957-8599555,15585768,saving,2024-07-24 17:31:00,active,70349.48,582
40,408-7165704-5643524,15619360,business,2024-07-10 21:56:00,inactive,0.0,472
41,402-8210765-3935569,15738148,current,2024-07-20 15:30:00,inactive,122522.32,465
42,406-7398201-3869914,15687946,current,2024-07-11 3:22:00,active,117419.35,556
43,408-3478480-0881162,15755196,current,2024-07-06 15:02:00,closed,131394.56,834
44,402-7595162-9129931,15684171,current,2024-07-05 20:28:00,closed,155931.11,660
45,171-6876154-6233146,15754849,current,2024-07-11 11:28:00,closed,109421.13,776
46,408-3917043-5314763,15602280,saving,2024-07-16 16:25:00,inactive,112045.67,829
47,408-9281152-6213100,15771573,business,2024-07-12 18:02:00,inactive,137843.8,637
48,403-3496411-3082707,15766205,saving,2024-07-16 22:35:00,active,103391.38,550
49,171-9208368-0157156,15771873,current,2024-07-26 13:20:00,active,103769.22,776
50,408-2137113-0982751,15616550,current,2024-07-25 3:33:00,inactive,116363.37,698
51,402-3628566-9688333,15768193,business,2024-07-17 3:30:00,active,146050.97,585
52,408-7138000-9728362,15683553,saving,2024-07-07 5:59:00,active,0.0,788
53,402-1752649-2274748,15702298,business,2024-07-01 2:21:00,inactive,125561.97,655
54,402-7944191-1869101,15569590,business,2024-07-01 2:45:00,closed,98495.72,601
55,407-4063876-9566742,15760861,business,2024-07-02 4:17:00,closed,125211.92,619
56,403-0752752-4656334,15630053,business,2024-07-13 2:27:00,closed,127864.4,656
57,406-8879861-2081117,15647091,business,2024-07-25 10:57:00,closed,75888.2,725
58,406-8089333-7941903,15623944,saving,2024-07-18 0:37:00,inactive,0.0,511
59,171-3072652-6805159,15804771,saving,2024-07-22 13:08:00,inactive,40685.92,614
60,171-2592464-6846743,15651280,business,2024-07-15 7:21:00,closed,136857.0,742
61,404-2262140-4696366,15773469,saving,2024-07-19 10:29:00,inactive,152328.88,687
62,404-2262140-4696366,15702014,saving,2024-07-07 16:56:00,inactive,56084.69,555
63,405-3594372-1614709,15751208,saving,2024-07-06 1:18:00,inactive,78707.16,684
64,407-2974257-4781134,15592461,business,2024-07-04 15:32:00,closed,109166.37,603
65,171-4137548-0481151,15789484,saving,2024-07-26 17:17:00,active,169831.46,751
66,405-4461562-9113959,15696061,business,2024-07-01 2:55:00,active,101633.04,581
67,404-4535078-5241919,15641582,saving,2024-07-22 16:24:00,inactive,123180.01,735
68,405-8387725-2971512,15638424,current,2024-07-21 19:56:00,inactive,150725.53,661
69,405-6480932-8759528,15755648,current,2024-07-05 13:55:00,active,98373.26,675
70,405-9966506-3155561,15703793,business,2024-07-29 19:40:00,closed,133745.44,738
71,408-7029737-8028367,15620344,business,2024-07-15 21:19:00,closed,0.0,813
72,407-2189901-7515567,15812518,business,2024-07-16 13:15:00,closed,163607.18,657
73,402-2105657-2899562,15779052,saving,2024-07-14 11:37:00,inactive,157780.84,604
74,406-1326801-8886709,15770811,current,2024-07-11 21:40:00,inactive,0.0,519
75,408-7760667-5809130,15780961,saving,2024-07-14 4:15:00,closed,178718.19,735
76,405-8457623-9269955,15614049,business,2024-07-17 7:30:00,closed,0.0,664
77,408-6820155-3521913,15662085,current,2024-07-04 14:43:00,inactive,0.0,678
78,403-6190683-2687538,15575185,business,2024-07-29 14:56:00,active,77253.22,757
79,408-4069830-3819562,15803136,saving,2024-07-17 19:55:00,closed,122189.66,416
80,408-4069830-3819562,15706021,saving,2024-07-20 10:58:00,inactive,96645.54,665
81,408-4069830-3819562,15663706,saving,2024-07-08 9:18:00,inactive,0.0,777
82,171-7367545-7081126,15641732,current,2024-07-07 1:31:00,closed,0.0,543
83,404-6522553-9345930,15701164,business,2024-07-30 1:20:00,inactive,90307.62,506
84,403-9950518-0349133,15738751,business,2024-07-03 11:25:00,inactive,0.0,493
85,407-6599093-6553153,15805254,saving,2024-07-11 10:44:00,active,0.0,652
86,403-3763475-2237125,15762418,saving,2024-07-22 18:17:00,closed,121681.82,750
87,405-1492294-0323520,15625759,saving,2024-07-21 6:54:00,inactive,0.0,729
88,403-1162895-2484367,15622897,current,2024-07-22 0:21:00,active,0.0,646
89,171-6833843-5473114,15767954,current,2024-07-26 9:39:00,closed,81623.67,635
90,403-1477057-8253913,15757535,saving,2024-07-26 6:06:00,active,0.0,647
91,408-2114413-6089906,15731511,business,2024-07-03 15:04:00,closed,118626.55,808
92,405-1879750-2639521,15809248,saving,2024-07-07 9:55:00,active,0.0,524
93,406-5727754-5302723,15640635,current,2024-07-22 12:51:00,closed,0.0,769
94,405-0901744-8270705,15676966,saving,2024-07-19 4:48:00,inactive,0.0,730
95,405-9112089-3379536,15699461,business,2024-07-01 5:03:00,inactive,176273.95,515
96,408-6357132-2310703,15738721,current,2024-07-23 4:01:00,closed,102827.44,773
97,406-5334922-9670748,15693683,saving,2024-07-26 8:22:00,active,97086.4,814
98,402-8519791-3706738,15604348,saving,2024-07-05 12:36:00,inactive,0.0,710
99,408-1830318-0357940,15633059,business,2024-07-18 7:21:00,closed,0.0,413
100,406-5103760-7326749,15808582,current,2024-07-21 8:21:00,closed,0.0,665
101,402-7841951-1872363,15743192,business,2024-07-13 2:55:00,active,0.0,623
102,408-7698765-2294756,15580146,current,2024-07-08 7:56:00,closed,82674.15,738
103,404-1856281-9996319,15776605,current,2024-07-22 4:32:00,active,0.0,528
104,406-5406738-7113145,15804919,saving,2024-07-24 21:58:00,inactive,0.0,670
105,405-5257740-5301158,15613854,current,2024-07-21 3:13:00,active,107073.27,622
106,405-5257740-5301158,15599195,business,2024-07-29 12:44:00,closed,88938.62,582
107,405-2072502-4089911,15812878,business,2024-07-15 8:31:00,inactive,99806.85,785
108,405-0882561-5952340,15602312,saving,2024-07-01 11:01:00,closed,150092.8,605
109,403-7266170-1163500,15744689,current,2024-07-11 10:50:00,closed,92833.89,479
110,405-8114272-1687512,15803526,business,2024-07-30 10:02:00,active,90536.81,685
111,171-6138639-1478731,15665790,current,2024-07-07 18:36:00,active,108055.1,538
112,405-4059216-4541150,15715951,saving,2024-07-27 23:48:00,closed,100238.35,562
113,405-1152015-7333945,15591100,business,2024-07-16 15:25:00,closed,106190.55,675
114,406-0177436-6731556,15609618,saving,2024-07-26 21:02:00,active,154475.54,721
115,406-0715107-8168308,15675522,saving,2024-07-04 3:31:00,inactive,132351.29,628
116,403-0104882-7373900,15705512,current,2024-07-16 10:15:00,active,167864.4,668
117,403-0104882-7373900,15698028,business,2024-07-20 22:27:00,inactive,0.0,506
118,403-0104882-7373900,15661670,current,2024-07-15 9:20:00,active,107818.63,524
119,405-3002282-6797102,15600781,current,2024-07-04 18:13:00,inactive,185173.81,699
120,407-8466904-3461908,15682472,current,2024-07-27 11:58:00,inactive,129433.34,828
121,171-3305587-5364338,15580203,business,2024-07-09 21:32:00,inactive,120193.42,674
122,406-8961316-8137943,15690673,saving,2024-07-30 10:14:00,closed,0.0,656
123,406-8961316-8137943,15760085,business,2024-07-13 21:23:00,closed,126384.42,684
124,171-2813040-8296320,15779659,saving,2024-07-29 19:56:00,closed,0.0,625
125,408-9845791-1393151,15627360,business,2024-07-24 9:25:00,inactive,152603.45,432
126,402-4277204-2348328,15671137,saving,2024-07-29 23:15:00,closed,0.0,549
127,171-3049339-2085136,15782688,business,2024-07-08 7:52:00,inactive,148507.24,625
128,405-9928526-2470747,15575492,current,2024-07-16 4:52:00,closed,0.0,828
129,405-4908072-0260360,15591607,business,2024-07-09 13:07:00,active,101827.07,770
130,406-3984186-5973150,15740404,saving,2024-07-26 16:05:00,inactive,0.0,758
131,171-8635309-7508346,15718369,current,2024-07-26 23:32:00,inactive,130862.43,795
132,171-0293372-4913973,15677871,business,2024-07-05 4:23:00,inactive,122570.87,687
133,402-8288606-4313118,15642004,business,2024-07-23 10:25:00,closed,0.0,686
134,402-8746990-6412346,15712543,saving,2024-07-23 19:44:00,inactive,124828.46,789
135,402-0294212-5431551,15584518,saving,2024-07-28 10:29:00,closed,144895.05,589
136,406-1530134-2105912,15802381,saving,2024-07-19 15:04:00,active,63663.93,461
137,403-5222550-4437140,15610156,current,2024-07-12 8:33:00,closed,133463.1,637
138,408-1482435-5202714,15594408,business,2024-07-16 10:22:00,closed,213146.2,584
139,403-6442534-2769112,15640905,business,2024-07-25 11:15:00,active,129490.36,579
140,408-3113070-0750756,15698932,business,2024-07-28 6:34:00,active,137452.09,756
141,404-7796841-1880317,15724944,current,2024-07-03 20:56:00,inactive,0.0,663
142,405-2142542-0941949,15628145,saving,2024-07-17 7:28:00,active,125851.93,682
143,405-0286717-7761132,15713483,business,2024-07-01 3:29:00,closed,0.0,793
144,406-9021273-9221106,15612350,business,2024-07-20 13:53:00,closed,40915.55,691
145,404-5381335-4577925,15800703,business,2024-07-10 2:02:00,closed,113157.22,485
146,171-0131752-2560336,15705707,current,2024-07-12 16:22:00,closed,138296.94,635
147,407-4235449-1353916,15754105,business,2024-07-15 6:58:00,active,106967.18,650
148,171-8061614-5688327,15703264,saving,2024-07-04 21:47:00,active,120681.63,735
149,407-8248783-4261958,15794413,saving,2024-07-28 7:06:00,active,0.0,416
150,404-6513062-3876305,15650237,business,2024-07-02 1:54:00,active,0.0,754
151,406-7779874-9136347,15759618,current,2024-07-10 18:38:00,inactive,0.0,535
152,406-9638549-1733961,15811589,current,2024-07-27 3:13:00,active,0.0,716
153,407-8801185-0134713,15689044,saving,2024-07-09 14:52:00,closed,127609.59,539
154,171-3625443-6505905,15709368,business,2024-07-05 9:33:00,closed,0.0,614
155,402-8078642-8565124,15679145,current,2024-07-06 10:00:00,active,0.0,706
156,402-2820441-9623566,15655007,current,2024-07-10 9:28:00,inactive,0.0,758
157,171-4312987-5366767,15623595,current,2024-07-01 10:12:00,closed,0.0,586
158,403-5189998-9343503,15589975,business,2024-07-26 15:07:00,inactive,97259.25,646
159,407-9863928-5979501,15804017,saving,2024-07-13 4:23:00,inactive,123246.7,631
160,171-4644162-9093116,15692132,business,2024-07-30 5:14:00,closed,101060.25,717
161,406-0974406-3179521,15641122,current,2024-07-20 11:34:00,closed,0.0,684
162,402-0048138-1845122,15630910,saving,2024-07-23 15:38:00,active,108007.36,800
163,407-6283946-7749133,15680772,business,2024-07-01 11:55:00,closed,0.0,721
164,407-0542879-1795554,15658929,saving,2024-07-10 18:52:00,active,133702.89,683
165,406-0218328-1773963,15585388,business,2024-07-06 12:51:00,closed,125189.75,660
166,407-3742007-3242711,15724623,business,2024-07-14 16:42:00,inactive,113034.22,704
167,407-3742007-3242711,15588537,saving,2024-07-16 22:49:00,active,109013.23,615
168,405-3067317-3360344,15574692,current,2024-07-13 10:16:00,closed,0.0,667
169,406-5648244-8317954,15611325,current,2024-07-04 8:50:00,closed,57929.81,682
170,171-3460653-0171519,15587562,saving,2024-07-04 11:55:00,closed,130114.39,484
171,404-5337874-2284337,15613172,current,2024-07-21 1:50:00,closed,95826.49,628
172,405-2660443-4165145,15651022,business,2024-07-05 8:41:00,closed,129608.57,480
173,402-3329522-2367566,15586310,business,2024-07-01 5:01:00,inactive,169462.09,578
174,406-3078054-1755513,15625524,current,2024-07-06 0:38:00,closed,0.0,512
175,171-4647176-6456305,15755209,saving,2024-07-22 12:46:00,active,133868.21,484
176,408-5011528-8276347,15645248,saving,2024-07-20 0:11:00,active,0.0,510
177,407-4097885-3129958,15790355,current,2024-07-17 3:54:00,active,190479.48,606
178,171-1224053-5752314,15762615,current,2024-07-23 23:49:00,active,101993.12,597
179,406-2849582-6531553,15625426,business,2024-07-28 13:53:00,inactive,161608.81,754
180,407-5875767-6399551,15716334,current,2024-07-29 0:08:00,active,122311.21,850
181,171-6336729-6763536,15789669,current,2024-07-03 16:49:00,active,0.0,510
182,404-3907920-5281963,15621075,saving,2024-07-01 22:15:00,closed,162150.42,778
183,408-7310428-6047538,15810845,business,2024-07-13 3:12:00,active,0.0,636
184,403-2608092-6065935,15719377,saving,2024-07-25 3:49:00,inactive,0.0,804
185,404-9760385-9109154,15654506,business,2024-07-05 9:23:00,active,0.0,514
186,405-0732969-3941948,15771977,business,2024-07-03 18:16:00,inactive,99010.67,730
187,402-2720308-2560327,15708710,business,2024-07-12 12:38:00,closed,0.0,525
188,402-0589123-6183541,15726676,current,2024-07-18 17:39:00,closed,0.0,616
189,408-3874942-9917143,15587421,business,2024-07-17 22:51:00,closed,111388.18,687
190,402-1706149-0949104,15726931,business,2024-07-30 17:37:00,closed,56214.85,715
191,407-1672316-3245939,15771086,saving,2024-07-11 10:25:00,closed,84327.77,512
192,405-1832646-7988329,15756850,business,2024-07-23 6:51:00,active,0.0,479
193,408-9692204-9817146,15702741,business,2024-07-21 16:24:00,inactive,93012.89,601
194,402-9339129-6219537,15679200,saving,2024-07-24 0:10:00,closed,61710.44,580
195,405-3036350-8089120,15594815,current,2024-07-28 16:31:00,inactive,174790.15,807
196,404-6680046-0839536,15635905,current,2024-07-24 2:27:00,closed,0.0,616
197,406-2966654-4672325,15777892,saving,2024-07-19 22:54:00,closed,107720.64,721
198,403-4845285-4565113,15656176,business,2024-07-04 0:38:00,closed,0.0,501
199,171-4496851-5319548,15811127,current,2024-07-02 22:59:00,closed,96423.84,521
200,408-3416118-1167564,15604482,saving,2024-07-03 18:29:00,inactive,141040.01,850
201,406-1590113-9193914,15622911,current,2024-07-24 10:52:00,closed,105420.18,759
202,404-0363929-8015528,15600974,current,2024-07-19 23:19:00,inactive,0.0,516
203,407-7173744-5333154,15727868,current,2024-07-14 8:16:00,active,129022.06,711
204,405-6880044-2861120,15627801,saving,2024-07-30 18:06:00,inactive,176666.62,512
205,403-4337144-0984323,15773039,business,2024-07-29 12:13:00,active,0.0,550
206,171-1851948-5476361,15755262,current,2024-07-16 10:32:00,active,89763.84,608
207,171-5810429-4493110,15679531,business,2024-07-02 18:20:00,inactive,134954.53,618
208,171-1068229-1581965,15684181,current,2024-07-30 9:17:00,inactive,0.0,643
209,402-2105140-3584364,15612087,business,2024-07-28 10:17:00,inactive,106376.85,671
210,403-3561336-3563535,15752047,business,2024-07-09 20:36:00,active,161814.64,689
211,402-9532672-5385917,15624592,saving,2024-07-11 10:28:00,inactive,0.0,603
212,408-4547464-4180323,15573152,current,2024-07-15 22:51:00,inactive,0.0,620
213,402-2211107-5096323,15594917,current,2024-07-03 22:59:00,inactive,63095.01,676
214,403-9412025-7537140,15785542,saving,2024-07-25 1:44:00,active,118287.01,572
215,403-5456917-5571511,15723488,business,2024-07-27 13:10:00,active,106854.21,668
216,171-8452330-4756317,15680920,business,2024-07-01 21:22:00,active,49512.55,695
217,171-4350114-4299568,15786308,current,2024-07-07 16:37:00,active,0.0,730
218,405-8692900-3888310,15659366,business,2024-07-05 15:15:00,inactive,105799.32,807
219,402-6750101-3923558,15774854,business,2024-07-22 19:30:00,active,0.0,592
220,403-5725327-6264327,15725311,saving,2024-07-27 11:39:00,closed,114722.05,726
221,403-5209693-1173944,15787155,saving,2024-07-14 1:07:00,inactive,0.0,514
222,403-8255889-7526765,15727829,business,2024-07-17 21:09:00,closed,0.0,567
223,407-3554912-7244363,15733247,business,2024-07-21 20:34:00,inactive,0.0,850
224,407-4737202-9096304,15568748,business,2024-07-19 17:32:00,inactive,99564.22,671
225,171-2842936-5423534,15699029,business,2024-07-05 1:18:00,active,170557.91,670
226,407-4936046-5852304,15774393,current,2024-07-22 5:44:00,closed,0.0,694
227,407-4936046-5852304,15676895,current,2024-07-07 6:55:00,inactive,74596.15,547
228,402-9580874-3525948,15637753,saving,2024-07-17 21:06:00,closed,96888.39,751
229,404-7426070-1355530,15605461,saving,2024-07-16 3:12:00,active,130830.22,594
230,406-4878137-1126707,15808473,current,2024-07-23 8:56:00,inactive,0.0,673
231,171-3505516-3505949,15627000,current,2024-07-30 4:29:00,inactive,0.0,610
232,406-6199849-7523514,15787174,saving,2024-07-01 23:33:00,inactive,0.0,512
233,406-6180074-2350757,15723886,business,2024-07-28 1:48:00,active,119714.25,767
234,406-6180074-2350757,15704769,business,2024-07-07 5:42:00,closed,113978.97,585
235,406-2403215-8361103,15772896,business,2024-07-26 10:10:00,active,100160.75,763
236,404-6578109-5618751,15711540,current,2024-07-24 11:32:00,closed,0.0,712
237,407-2307966-4961113,15764866,current,2024-07-15 9:55:00,closed,116220.5,539
238,404-5539778-0029904,15794056,current,2024-07-29 3:17:00,closed,0.0,668
239,171-6222676-0740318,15795149,business,2024-07-03 15:14:00,closed,81173.83,703
240,403-2166075-2254703,15812009,business,2024-07-06 7:14:00,closed,0.0,662
241,407-5766340-7411567,15651001,business,2024-07-02 13:18:00,inactive,116803.8,725
242,404-0634392-1837110,15813844,saving,2024-07-01 10:09:00,closed,105961.68,703
243,408-2759943-9849959,15596175,current,2024-07-03 9:20:00,closed,117411.6,659
244,403-5977671-8855508,15576269,current,2024-07-07 16:41:00,inactive,0.0,523
245,408-9321153-0591557,15797219,current,2024-07-20 3:47:00,active,123497.58,635
246,404-0696150-3898703,15685500,saving,2024-07-18 12:57:00,active,152400.51,772
247,406-7586136-6520337,15599792,current,2024-07-04 21:10:00,active,0.0,545
248,407-6146457-8788352,15657566,business,2024-07-03 4:20:00,active,103097.85,634
249,404-8514200-3544346,15772423,saving,2024-07-05 6:38:00,closed,126418.14,739
250,404-7452877-2137949,15628112,saving,2024-07-11 0:22:00,closed,77846.9,771
251,402-2703790-2816329,15753754,saving,2024-07-06 8:41:00,inactive,0.0,587
252,407-1515930-8661921,15793726,saving,2024-07-25 7:33:00,closed,0.0,681
253,405-9144614-1601126,15694717,current,2024-07-30 19:29:00,closed,79731.91,544
254,407-0994909-4122733,15665834,business,2024-07-11 12:39:00,inactive,0.0,696
255,402-7042386-5486768,15765297,business,2024-07-30 12:04:00,inactive,0.0,766
256,403-7652993-1507525,15636684,current,2024-07-23 15:34:00,active,0.0,727
257,407-3847456-6656309,15592979,saving,2024-07-05 21:57:00,inactive,37266.67,671
258,407-3847456-6656309,15750803,business,2024-07-16 9:26:00,inactive,127992.25,693
259,171-7623384-8040337,15607178,business,2024-07-08 22:13:00,closed,54901.01,850
260,171-7623384-8040337,15713853,business,2024-07-09 18:33:00,closed,108748.08,732
261,171-4607096-6413920,15673481,current,2024-07-16 8:35:00,inactive,99906.19,726
262,404-6783988-2006729,15686776,saving,2024-07-08 19:31:00,closed,184686.41,557
263,404-6975277-1927553,15673693,business,2024-07-06 23:56:00,active,110654.02,682
264,402-5586272-3646748,15700696,current,2024-07-14 6:47:00,active,79019.8,738
265,171-6655820-6440356,15813163,current,2024-07-01 9:16:00,inactive,99240.51,531
266,171-1584788-8864335,15653857,saving,2024-07-05 7:57:00,closed,0.0,498
267,402-0150402-0900371,15777076,saving,2024-07-04 23:51:00,closed,0.0,651
268,408-6791822-5493964,15717398,current,2024-07-23 18:37:00,inactive,0.0,549
269,405-0483874-0889137,15799217,current,2024-07-25 2:41:00,active,52436.2,791
270,407-5600921-2143569,15787071,saving,2024-07-24 5:57:00,closed,0.0,650
271,404-1607808-0769930,15619955,current,2024-07-08 20:17:00,active,100337.96,733
272,407-5124083-2725136,15796505,saving,2024-07-22 3:32:00,inactive,149297.19,811
273,407-4766116-5412325,15725166,current,2024-07-19 14:31:00,closed,0.0,707
274,402-6885004-6990731,15800116,current,2024-07-03 21:45:00,inactive,145605.44,712
275,402-2207276-9869933,15758685,business,2024-07-04 2:26:00,inactive,0.0,706
276,407-9494293-9423561,15694456,current,2024-07-01 7:28:00,active,0.0,756
277,171-6867266-8495534,15767339,current,2024-07-17 7:05:00,closed,0.0,777
278,408-3475592-6193128,15683562,business,2024-07-13 20:08:00,active,84026.86,646
279,171-1987024-2709164,15782210,current,2024-07-24 6:37:00,active,0.0,714
280,406-1522425-5387565,15668893,business,2024-07-13 11:05:00,active,0.0,782
281,171-3270734-5045130,15669169,business,2024-07-01 0:31:00,active,0.0,775
282,408-4101226-7217932,15643024,current,2024-07-28 10:43:00,active,138718.92,479
283,171-5719664-5449151,15699389,current,2024-07-15 19:16:00,inactive,118274.71,807
284,403-9400764-4029123,15708608,current,2024-07-17 11:21:00,active,174185.98,799
285,406-8413944-2634744,15626144,saving,2024-07-30 5:53:00,closed,113208.86,675
286,406-8271099-5133911,15573112,business,2024-07-17 8:58:00,inactive,103907.28,602
287,406-8271099-5133911,15790678,business,2024-07-27 9:22:00,closed,119023.28,475
288,405-3441326-1516368,15727556,saving,2024-07-07 21:53:00,inactive,166297.89,744
289,408-8009772-6580317,15697307,current,2024-07-24 9:47:00,closed,0.0,588
290,402-4774686-7773937,15652266,current,2024-07-16 1:47:00,closed,63227.0,703
291,402-2860689-5652319,15607098,business,2024-07-20 2:52:00,inactive,94521.17,747
292,406-6386989-1689108,15655774,business,2024-07-20 4:03:00,closed,0.0,583
293,408-9720884-9553122,15590241,saving,2024-07-04 3:47:00,inactive,112822.26,750
294,408-6428766-2839536,15785819,business,2024-07-11 15:19:00,closed,0.0,681
295,408-8641795-6914711,15723654,saving,2024-07-04 1:18:00,active,135903.33,773
296,402-9475978-1434754,15774510,business,2024-07-03 13:51:00,inactive,125169.26,714
297,407-5776821-9327552,15684173,current,2024-07-22 0:45:00,active,0.0,687
298,171-6845071-0336346,15650068,business,2024-07-29 18:24:00,inactive,149117.31,511
299,404-7491342-1035558,15811490,business,2024-07-08 14:26:00,closed,0.0,627
300,171-6783343-9758701,15803976,business,2024-07-27 8:42:00,inactive,0.0,694
301,402-0043314-1059527,15682541,current,2024-07-15 22:10:00,inactive,132311.71,616
302,406-6586654-6641140,15695699,business,2024-07-08 18:55:00,inactive,0.0,687
303,405-6120626-0941135,15624188,business,2024-07-24 16:00:00,closed,0.0,712
304,408-9255314-3102740,15812191,current,2024-07-19 8:32:00,inactive,118082.89,553
305,408-3436456-9893130,15636673,current,2024-07-11 2:28:00,closed,119266.69,667
306,408-3870331-6287517,15594898,saving,2024-07-04 1:18:00,active,0.0,731
307,408-3870331-6287517,15660211,saving,2024-07-04 13:30:00,inactive,156847.29,629
308,407-2882576-2777135,15773972,current,2024-07-27 22:55:00,closed,137104.47,614
309,403-2256919-4846738,15746726,saving,2024-07-01 17:11:00,inactive,78398.69,438
310,403-2920089-2403567,15712287,current,2024-07-28 23:40:00,active,0.0,652
311,406-7792526-4685142,15702919,saving,2024-07-07 11:54:00,active,63669.42,729
312,406-7680255-6117120,15674398,saving,2024-07-08 16:01:00,active,0.0,642
313,402-4646784-8411501,15797960,current,2024-07-29 5:16:00,active,135296.33,806
314,405-2788163-4515521,15631868,current,2024-07-28 7:15:00,closed,153804.44,744
315,405-1757140-2025918,15581539,saving,2024-07-16 3:48:00,closed,0.0,474
316,403-9105351-8453114,15662736,saving,2024-07-07 14:33:00,inactive,147069.78,559
317,402-0503400-6235514,15666252,business,2024-07-19 17:53:00,closed,0.0,706
318,408-3201739-2676310,15677512,saving,2024-07-20 20:07:00,closed,0.0,628
319,171-8027093-8553945,15626114,current,2024-07-21 13:56:00,active,95741.75,429
320,403-3331597-7637100,15810834,saving,2024-07-14 20:29:00,inactive,145965.33,525
321,403-4424319-6635501,15678910,current,2024-07-02 16:06:00,active,141441.75,680
322,403-0906375-2269150,15694408,current,2024-07-19 20:42:00,closed,139290.41,749
323,406-7261451-5682727,15585215,business,2024-07-17 15:07:00,inactive,0.0,763
324,407-5096970-7475550,15682757,current,2024-07-02 19:25:00,inactive,0.0,734
325,402-6566640-5417947,15736601,current,2024-07-06 7:59:00,inactive,144428.87,716
326,402-5302912-6805151,15601848,current,2024-07-11 4:46:00,inactive,0.0,594
327,407-9707366-3029944,15736008,current,2024-07-18 15:01:00,active,95441.27,644
328,402-1365379-0131533,15669064,current,2024-07-08 3:32:00,closed,144848.74,671
329,408-5540360-9479519,15624528,saving,2024-07-29 21:12:00,closed,116244.14,664
330,403-2079921-1244300,15598493,saving,2024-07-24 15:36:00,inactive,0.0,656
331,402-8019936-6115500,15601274,business,2024-07-08 18:08:00,inactive,146502.07,667
332,406-6711228-7576354,15702669,saving,2024-07-18 15:06:00,active,117028.6,663
333,171-1425554-3718756,15728669,saving,2024-07-16 15:17:00,inactive,112013.81,584
334,407-9906412-0889129,15742668,saving,2024-07-02 0:04:00,inactive,108269.37,626
335,408-8991303-6559523,15697441,current,2024-07-12 13:28:00,closed,182123.79,485
336,408-6046797-8945127,15740476,saving,2024-07-06 15:29:00,closed,150923.74,659
337,171-2134173-5385136,15648064,saving,2024-07-30 14:25:00,closed,0.0,649
338,171-2134173-5385136,15636624,saving,2024-07-14 2:37:00,inactive,165272.13,805
