,account_id,transaction_id,customer_id,transaction_date,transaction_time,transaction_type,amount,balance_after_transaction,channel,transaction_status
26,403-9230474-9657916,399,15736816,4/30/2022,3:44:00,payment,434.0,136381.64,ATM,succes
27,408-3484251-6901959,399,15700772,4/30/2022,17:11:00,withdrawal,387.0,-387.0,branch,succes
28,405-7755803-4729935,399,15728693,4/30/2022,19:44:00,payment,506.0,140843.43,ATM,succes
29,404-5933402-8801952,399,15656300,4/30/2022,8:26:00,transfer,428.0,59269.17,branch,succes
30,171-9040274-9291563,399,15589475,4/30/2022,7:04:00,transfer,302.0,-302.0,ATM,succes
31,403-7056319-0979561,399,15706552,4/30/2022,6:18:00,transfer,420.0,84891.7,online,succes
32,404-9632124-1107550,399,15750181,4/30/2022,10:17:00,withdrawal,684.0,109428.54,online,failed
33,402-1465437-0579556,399,15659428,4/30/2022,12:56:00,payment,337.0,-337.0,mobile,failed
34,404-7774085-3780319,399,15732963,4/30/2022,11:52:00,withdrawal,640.0,-640.0,ATM,succes
35,402-2764952-1492318,399,15794171,4/30/2022,5:25:00,withdrawal,320.0,133944.04,ATM,failed
36,406-0272200-7784379,399,15788448,4/30/2022,9:33:00,withdrawal,541.0,144719.23,mobile,failed
37,403-4367956-2849158,399,15729599,4/30/2022,16:16:00,transfer,754.0,75794.6,ATM,failed
38,403-4367956-2849158,399,15717426,4/30/2022,0:58:00,transfer,602.0,-602.0,online,failed
39,403-4242957-8599555,399,15585768,4/30/2022,17:31:00,payment,368.0,69981.48,mobile,failed
40,408-7165704-5643524,399,15619360,4/30/2022,21:56:00,deposit,428.0,-428.0,branch,succes
41,402-8210765-3935569,399,15738148,4/30/2022,15:30:00,deposit,495.0,122027.32,ATM,failed
42,406-7398201-3869914,399,15687946,4/30/2022,3:22:00,transfer,439.0,116980.35,ATM,succes
43,408-3478480-0881162,399,15755196,4/30/2022,15:02:00,transfer,743.0,130651.56,branch,succes
44,402-7595162-9129931,399,15684171,4/30/2022,20:28:00,withdrawal,582.0,155349.11,ATM,succes
45,171-6876154-6233146,399,15754849,4/30/2022,11:28:00,deposit,611.0,108810.13,branch,failed
46,408-3917043-5314763,399,15602280,4/30/2022,16:25:00,deposit,834.0,111211.67,mobile,succes
47,408-9281152-6213100,399,15771573,4/30/2022,18:02:00,withdrawal,576.0,137267.8,online,succes
48,403-3496411-3082707,399,15766205,4/30/2022,22:35:00,deposit,360.0,103031.38,online,failed
49,171-9208368-0157156,399,15771873,4/30/2022,13:20:00,deposit,618.0,103151.22,ATM,failed
50,408-2137113-0982751,399,15616550,4/30/2022,3:33:00,withdrawal,351.0,116012.37,ATM,succes
51,402-3628566-9688333,399,15768193,4/30/2022,3:30:00,deposit,452.0,145598.97,online,failed
52,408-7138000-9728362,399,15683553,4/30/2022,5:59:00,transfer,610.0,-610.0,mobile,failed
53,402-1752649-2274748,399,15702298,4/30/2022,2:21:00,transfer,843.0,124718.97,branch,succes
54,402-7944191-1869101,399,15569590,4/30/2022,2:45:00,withdrawal,688.0,97807.72,mobile,succes
55,407-4063876-9566742,399,15760861,4/30/2022,4:17:00,transfer,847.0,124364.92,branch,succes
56,403-0752752-4656334,399,15630053,4/30/2022,2:27:00,payment,476.0,127388.4,branch,succes
57,406-8879861-2081117,399,15647091,4/30/2022,10:57:00,payment,661.0,75227.2,mobile,succes
58,406-8089333-7941903,399,15623944,4/30/2022,0:37:00,deposit,613.0,-613.0,branch,succes
59,171-3072652-6805159,399,15804771,4/30/2022,13:08:00,withdrawal,396.0,40289.92,mobile,succes
60,171-2592464-6846743,399,15651280,4/30/2022,7:21:00,transfer,512.0,136345.0,mobile,failed
61,404-2262140-4696366,399,15773469,4/30/2022,10:29:00,transfer,436.0,151892.88,branch,failed
62,404-2262140-4696366,399,15702014,4/30/2022,16:56:00,deposit,305.0,55779.69,ATM,succes
63,405-3594372-1614709,399,15751208,4/30/2022,1:18:00,transfer,408.0,78299.16,mobile,failed
64,407-2974257-4781134,399,15592461,4/30/2022,15:32:00,withdrawal,846.0,108320.37,online,succes
65,171-4137548-0481151,399,15789484,4/30/2022,17:17:00,withdrawal,338.0,169493.46,ATM,succes
66,405-4461562-9113959,399,15696061,4/30/2022,2:55:00,deposit,724.0,100909.04,branch,succes
67,404-4535078-5241919,399,15641582,4/30/2022,16:24:00,withdrawal,560.0,122620.01,ATM,failed
68,405-8387725-2971512,399,15638424,4/30/2022,19:56:00,deposit,725.0,150000.53,ATM,failed
69,405-6480932-8759528,399,15755648,4/30/2022,13:55:00,deposit,386.0,97987.26,online,failed
70,405-9966506-3155561,399,15703793,4/30/2022,19:40:00,payment,764.0,132981.44,ATM,failed
71,408-7029737-8028367,399,15620344,4/30/2022,21:19:00,deposit,375.0,-375.0,branch,succes
72,407-2189901-7515567,399,15812518,4/30/2022,13:15:00,deposit,770.0,162837.18,branch,failed
73,402-2105657-2899562,399,15779052,4/30/2022,11:37:00,transfer,713.0,157067.84,ATM,succes
74,406-1326801-8886709,399,15770811,4/30/2022,21:40:00,payment,756.0,-756.0,ATM,succes
75,408-7760667-5809130,399,15780961,4/30/2022,4:15:00,transfer,584.0,178134.19,branch,failed
76,405-8457623-9269955,399,15614049,4/30/2022,7:30:00,transfer,538.0,-538.0,online,failed
77,408-6820155-3521913,399,15662085,4/30/2022,14:43:00,transfer,671.0,-671.0,ATM,failed
78,403-6190683-2687538,399,15575185,4/30/2022,14:56:00,withdrawal,794.0,76459.22,mobile,failed
79,408-4069830-3819562,399,15803136,4/30/2022,19:55:00,deposit,344.0,121845.66,ATM,failed
80,408-4069830-3819562,399,15706021,4/30/2022,10:58:00,transfer,700.0,95945.54,online,succes
81,408-4069830-3819562,399,15663706,4/30/2022,9:18:00,transfer,546.0,-546.0,branch,failed
82,171-7367545-7081126,399,15641732,4/30/2022,1:31:00,deposit,749.0,-749.0,ATM,succes
83,404-6522553-9345930,399,15701164,4/30/2022,1:20:00,transfer,784.0,89523.62,mobile,failed
84,403-9950518-0349133,399,15738751,4/30/2022,11:25:00,withdrawal,317.0,-317.0,online,failed
85,407-6599093-6553153,399,15805254,4/30/2022,10:44:00,payment,588.0,-588.0,mobile,failed
86,403-3763475-2237125,399,15762418,4/30/2022,18:17:00,transfer,713.0,120968.82,ATM,succes
87,405-1492294-0323520,399,15625759,4/30/2022,6:54:00,payment,534.0,-534.0,branch,succes
88,403-1162895-2484367,399,15622897,4/30/2022,0:21:00,payment,715.0,-715.0,ATM,succes
89,171-6833843-5473114,399,15767954,4/30/2022,9:39:00,transfer,798.0,80825.67,branch,succes
90,403-1477057-8253913,399,15757535,4/30/2022,6:06:00,transfer,414.0,-414.0,branch,failed
91,408-2114413-6089906,399,15731511,4/30/2022,15:04:00,withdrawal,533.0,118093.55,mobile,succes
92,405-1879750-2639521,399,15809248,4/30/2022,9:55:00,deposit,839.0,-839.0,online,succes
93,406-5727754-5302723,399,15640635,4/30/2022,12:51:00,deposit,310.0,-310.0,online,failed
94,405-0901744-8270705,399,15676966,4/30/2022,4:48:00,deposit,505.0,-505.0,branch,failed
95,405-9112089-3379536,399,15699461,4/30/2022,5:03:00,payment,546.0,175727.95,branch,succes
96,408-6357132-2310703,399,15738721,4/30/2022,4:01:00,deposit,426.0,102401.44,branch,failed
97,406-5334922-9670748,399,15693683,4/30/2022,8:22:00,withdrawal,446.0,96640.4,ATM,failed
98,402-8519791-3706738,399,15604348,4/30/2022,12:36:00,withdrawal,417.0,-417.0,online,succes
99,408-1830318-0357940,399,15633059,4/30/2022,7:21:00,withdrawal,681.0,-681.0,mobile,succes
100,406-5103760-7326749,399,15808582,4/30/2022,8:21:00,withdrawal,711.0,-711.0,branch,failed
101,402-7841951-1872363,399,15743192,4/30/2022,2:55:00,deposit,662.0,-662.0,branch,failed
102,408-7698765-2294756,399,15580146,4/30/2022,7:56:00,payment,808.0,81866.15,online,succes
103,404-1856281-9996319,399,15776605,4/30/2022,4:32:00,payment,436.0,-436.0,mobile,failed
104,406-5406738-7113145,399,15804919,4/30/2022,21:58:00,deposit,474.0,-474.0,mobile,failed
105,405-5257740-5301158,399,15613854,4/30/2022,3:13:00,deposit,588.0,106485.27,ATM,succes
106,405-5257740-5301158,399,15599195,4/30/2022,12:44:00,transfer,780.0,88158.62,branch,failed
107,405-2072502-4089911,399,15812878,4/30/2022,8:31:00,withdrawal,318.0,99488.85,ATM,succes
108,405-0882561-5952340,399,15602312,4/30/2022,11:01:00,deposit,494.0,149598.8,online,failed
109,403-7266170-1163500,399,15744689,4/30/2022,10:50:00,deposit,629.0,92204.89,online,succes
110,405-8114272-1687512,399,15803526,4/30/2022,10:02:00,withdrawal,474.0,90062.81,branch,succes
111,171-6138639-1478731,399,15665790,4/30/2022,18:36:00,withdrawal,748.0,107307.1,ATM,succes
112,405-4059216-4541150,399,15715951,4/30/2022,23:48:00,transfer,653.0,99585.35,online,succes
113,405-1152015-7333945,399,15591100,4/30/2022,15:25:00,transfer,798.0,105392.55,online,failed
114,406-0177436-6731556,399,15609618,4/30/2022,21:02:00,payment,440.0,154035.54,branch,succes
115,406-0715107-8168308,399,15675522,4/30/2022,3:31:00,deposit,392.0,131959.29,branch,failed
116,403-0104882-7373900,399,15705512,4/30/2022,10:15:00,transfer,538.0,167326.4,online,succes
117,403-0104882-7373900,399,15698028,4/30/2022,22:27:00,deposit,504.0,-504.0,branch,failed
118,403-0104882-7373900,399,15661670,4/30/2022,9:20:00,transfer,732.0,107086.63,ATM,succes
119,405-3002282-6797102,399,15600781,4/30/2022,18:13:00,withdrawal,544.0,184629.81,mobile,failed
120,407-8466904-3461908,399,15682472,4/30/2022,11:58:00,payment,616.0,128817.34,online,failed
121,171-3305587-5364338,399,15580203,4/30/2022,21:32:00,deposit,594.0,119599.42,branch,succes
122,406-8961316-8137943,399,15690673,4/30/2022,10:14:00,withdrawal,581.0,-581.0,online,failed
123,406-8961316-8137943,399,15760085,4/30/2022,21:23:00,payment,316.0,126068.42,branch,succes
124,171-2813040-8296320,399,15779659,4/30/2022,19:56:00,transfer,370.0,-370.0,ATM,failed
125,408-9845791-1393151,399,15627360,4/30/2022,9:25:00,withdrawal,568.0,152035.45,ATM,succes
126,402-4277204-2348328,399,15671137,4/30/2022,23:15:00,payment,624.0,-624.0,mobile,failed
127,171-3049339-2085136,399,15782688,4/30/2022,7:52:00,deposit,604.0,147903.24,ATM,failed
128,405-9928526-2470747,399,15575492,4/30/2022,4:52:00,transfer,750.0,-750.0,mobile,failed
129,405-4908072-0260360,399,15591607,4/30/2022,13:07:00,transfer,306.0,101521.07,online,failed
130,406-3984186-5973150,399,15740404,4/30/2022,16:05:00,transfer,613.0,-613.0,ATM,succes
131,171-8635309-7508346,399,15718369,4/30/2022,23:32:00,transfer,402.0,130460.43,mobile,succes
132,171-0293372-4913973,399,15677871,4/30/2022,4:23:00,deposit,492.0,122078.87,ATM,failed
133,402-8288606-4313118,399,15642004,4/30/2022,10:25:00,payment,828.0,-828.0,online,succes
134,402-8746990-6412346,399,15712543,4/30/2022,19:44:00,withdrawal,470.0,124358.46,mobile,succes
135,402-0294212-5431551,399,15584518,4/30/2022,10:29:00,transfer,836.0,144059.05,branch,succes
136,406-1530134-2105912,399,15802381,4/30/2022,15:04:00,payment,550.0,63113.93,ATM,failed
137,403-5222550-4437140,399,15610156,4/30/2022,8:33:00,deposit,686.0,132777.1,online,failed
138,408-1482435-5202714,399,15594408,4/30/2022,10:22:00,deposit,506.0,212640.2,ATM,failed
139,403-6442534-2769112,399,15640905,4/30/2022,11:15:00,payment,840.0,128650.36,mobile,succes
140,408-3113070-0750756,399,15698932,4/30/2022,6:34:00,deposit,715.0,136737.09,mobile,failed
141,404-7796841-1880317,399,15724944,4/30/2022,20:56:00,payment,679.0,-679.0,ATM,failed
142,405-2142542-0941949,399,15628145,4/30/2022,7:28:00,payment,443.0,125408.93,online,succes
143,405-0286717-7761132,399,15713483,4/30/2022,3:29:00,deposit,324.0,-324.0,mobile,failed
144,406-9021273-9221106,399,15612350,4/30/2022,13:53:00,withdrawal,372.0,40543.55,branch,succes
145,404-5381335-4577925,399,15800703,4/30/2022,2:02:00,deposit,392.0,112765.22,ATM,failed
146,171-0131752-2560336,399,15705707,4/30/2022,16:22:00,payment,804.0,137492.94,ATM,failed
147,407-4235449-1353916,399,15754105,4/30/2022,6:58:00,payment,635.0,106332.18,branch,succes
148,171-8061614-5688327,399,15703264,4/30/2022,21:47:00,payment,724.0,119957.63,ATM,failed
149,407-8248783-4261958,399,15794413,4/30/2022,7:06:00,deposit,798.0,-798.0,ATM,succes
150,404-6513062-3876305,399,15650237,4/30/2022,1:54:00,transfer,663.0,-663.0,mobile,succes
151,406-7779874-9136347,399,15759618,4/30/2022,18:38:00,withdrawal,498.0,-498.0,branch,failed
152,406-9638549-1733961,399,15811589,4/30/2022,3:13:00,deposit,712.0,-712.0,online,succes
153,407-8801185-0134713,399,15689044,4/30/2022,14:52:00,payment,638.0,126971.59,ATM,failed
154,171-3625443-6505905,399,15709368,4/30/2022,9:33:00,transfer,728.0,-728.0,online,failed
155,402-8078642-8565124,399,15679145,4/30/2022,10:00:00,payment,438.0,-438.0,online,succes
156,402-2820441-9623566,399,15655007,4/30/2022,9:28:00,withdrawal,841.0,-841.0,branch,succes
157,171-4312987-5366767,399,15623595,4/30/2022,10:12:00,payment,356.0,-356.0,mobile,failed
158,403-5189998-9343503,399,15589975,4/30/2022,15:07:00,transfer,531.0,96728.25,mobile,failed
159,407-9863928-5979501,399,15804017,4/30/2022,4:23:00,transfer,734.0,122512.7,mobile,failed
160,171-4644162-9093116,399,15692132,4/30/2022,5:14:00,transfer,683.0,100377.25,branch,succes
161,406-0974406-3179521,399,15641122,4/30/2022,11:34:00,withdrawal,493.0,-493.0,online,succes
162,402-0048138-1845122,399,15630910,4/30/2022,15:38:00,deposit,833.0,107174.36,mobile,succes
163,407-6283946-7749133,399,15680772,4/30/2022,11:55:00,payment,817.0,-817.0,mobile,failed
164,407-0542879-1795554,399,15658929,4/30/2022,18:52:00,payment,484.0,133218.89,mobile,succes
165,406-0218328-1773963,399,15585388,4/30/2022,12:51:00,withdrawal,591.0,124598.75,ATM,succes
166,407-3742007-3242711,399,15724623,4/30/2022,16:42:00,payment,634.0,112400.22,mobile,succes
167,407-3742007-3242711,399,15588537,4/30/2022,22:49:00,payment,415.0,108598.23,ATM,succes
168,405-3067317-3360344,399,15574692,4/30/2022,10:16:00,withdrawal,348.0,-348.0,branch,succes
169,406-5648244-8317954,399,15611325,4/30/2022,8:50:00,transfer,381.0,57548.81,branch,succes
170,171-3460653-0171519,399,15587562,4/30/2022,11:55:00,transfer,632.0,129482.39,ATM,succes
171,404-5337874-2284337,399,15613172,4/30/2022,1:50:00,transfer,634.0,95192.49,branch,succes
172,405-2660443-4165145,399,15651022,4/30/2022,8:41:00,withdrawal,831.0,128777.57,mobile,failed
173,402-3329522-2367566,399,15586310,4/30/2022,5:01:00,transfer,520.0,168942.09,mobile,failed
174,406-3078054-1755513,399,15625524,4/30/2022,0:38:00,deposit,622.0,-622.0,ATM,failed
175,171-4647176-6456305,399,15755209,4/30/2022,12:46:00,withdrawal,302.0,133566.21,branch,succes
176,408-5011528-8276347,399,15645248,4/30/2022,0:11:00,payment,505.0,-505.0,online,failed
177,407-4097885-3129958,399,15790355,4/30/2022,3:54:00,payment,339.0,190140.48,ATM,failed
178,171-1224053-5752314,399,15762615,4/30/2022,23:49:00,deposit,358.0,101635.12,mobile,succes
179,406-2849582-6531553,399,15625426,4/30/2022,13:53:00,withdrawal,806.0,160802.81,mobile,succes
180,407-5875767-6399551,399,15716334,4/30/2022,0:08:00,withdrawal,421.0,121890.21,mobile,succes
181,171-6336729-6763536,399,15789669,4/30/2022,16:49:00,transfer,778.0,-778.0,online,succes
182,404-3907920-5281963,399,15621075,4/30/2022,22:15:00,deposit,395.0,161755.42,ATM,succes
183,408-7310428-6047538,399,15810845,4/30/2022,3:12:00,withdrawal,713.0,-713.0,mobile,succes
184,403-2608092-6065935,399,15719377,4/30/2022,3:49:00,deposit,534.0,-534.0,ATM,failed
185,404-9760385-9109154,399,15654506,4/30/2022,9:23:00,withdrawal,361.0,-361.0,mobile,succes
186,405-0732969-3941948,399,15771977,4/30/2022,18:16:00,withdrawal,555.0,98455.67,branch,failed
187,402-2720308-2560327,399,15708710,4/30/2022,12:38:00,transfer,647.0,-647.0,mobile,failed
188,402-0589123-6183541,399,15726676,4/30/2022,17:39:00,withdrawal,423.0,-423.0,branch,failed
189,408-3874942-9917143,399,15587421,4/30/2022,22:51:00,transfer,781.0,110607.18,online,failed
190,402-1706149-0949104,399,15726931,4/30/2022,17:37:00,withdrawal,616.0,55598.85,online,succes
191,407-1672316-3245939,399,15771086,4/30/2022,10:25:00,transfer,803.0,83524.77,branch,succes
192,405-1832646-7988329,399,15756850,4/30/2022,6:51:00,transfer,347.0,-347.0,ATM,failed
193,408-9692204-9817146,399,15702741,4/30/2022,16:24:00,withdrawal,708.0,92304.89,mobile,failed
194,402-9339129-6219537,399,15679200,4/30/2022,0:10:00,payment,435.0,61275.44,ATM,failed
195,405-3036350-8089120,399,15594815,4/30/2022,16:31:00,withdrawal,500.0,174290.15,ATM,failed
196,404-6680046-0839536,399,15635905,4/30/2022,2:27:00,withdrawal,549.0,-549.0,mobile,succes
197,406-2966654-4672325,399,15777892,4/30/2022,22:54:00,deposit,613.0,107107.64,ATM,failed
198,403-4845285-4565113,399,15656176,4/30/2022,0:38:00,withdrawal,667.0,-667.0,mobile,failed
199,171-4496851-5319548,399,15811127,4/30/2022,22:59:00,transfer,728.0,95695.84,branch,succes
200,408-3416118-1167564,399,15604482,4/30/2022,18:29:00,transfer,779.0,140261.01,online,failed
201,406-1590113-9193914,399,15622911,4/30/2022,10:52:00,withdrawal,613.0,104807.18,mobile,succes
202,404-0363929-8015528,399,15600974,4/30/2022,23:19:00,withdrawal,799.0,-799.0,online,failed
203,407-7173744-5333154,399,15727868,4/30/2022,8:16:00,deposit,654.0,128368.06,online,succes
204,405-6880044-2861120,399,15627801,4/30/2022,18:06:00,payment,784.0,175882.62,branch,succes
205,403-4337144-0984323,399,15773039,4/30/2022,12:13:00,payment,510.0,-510.0,ATM,succes
206,171-1851948-5476361,399,15755262,4/30/2022,10:32:00,transfer,343.0,89420.84,mobile,failed
207,171-5810429-4493110,399,15679531,4/30/2022,18:20:00,deposit,840.0,134114.53,mobile,failed
208,171-1068229-1581965,399,15684181,4/30/2022,9:17:00,deposit,391.0,-391.0,online,succes
209,402-2105140-3584364,399,15612087,4/30/2022,10:17:00,withdrawal,564.0,105812.85,mobile,failed
210,403-3561336-3563535,399,15752047,4/30/2022,20:36:00,withdrawal,519.0,161295.64,mobile,succes
211,402-9532672-5385917,399,15624592,4/30/2022,10:28:00,deposit,741.0,-741.0,ATM,failed
212,408-4547464-4180323,399,15573152,4/30/2022,22:51:00,withdrawal,700.0,-700.0,online,succes
213,402-2211107-5096323,399,15594917,4/30/2022,22:59:00,transfer,699.0,62396.01,online,succes
214,403-9412025-7537140,399,15785542,4/30/2022,1:44:00,transfer,789.0,117498.01,mobile,succes
215,403-5456917-5571511,399,15723488,4/30/2022,13:10:00,withdrawal,784.0,106070.21,branch,succes
216,171-8452330-4756317,399,15680920,4/30/2022,21:22:00,withdrawal,769.0,48743.55,ATM,succes
217,171-4350114-4299568,399,15786308,4/30/2022,16:37:00,payment,744.0,-744.0,online,succes
218,405-8692900-3888310,399,15659366,4/30/2022,15:15:00,withdrawal,568.0,105231.32,mobile,failed
219,402-6750101-3923558,399,15774854,4/30/2022,19:30:00,transfer,566.0,-566.0,branch,succes
220,403-5725327-6264327,399,15725311,4/30/2022,11:39:00,deposit,353.0,114369.05,branch,failed
221,403-5209693-1173944,399,15787155,4/30/2022,1:07:00,deposit,827.0,-827.0,online,failed
222,403-8255889-7526765,399,15727829,4/30/2022,21:09:00,payment,819.0,-819.0,mobile,succes
223,407-3554912-7244363,399,15733247,4/30/2022,20:34:00,transfer,358.0,-358.0,ATM,failed
224,407-4737202-9096304,399,15568748,4/30/2022,17:32:00,deposit,339.0,99225.22,mobile,failed
225,171-2842936-5423534,399,15699029,4/30/2022,1:18:00,payment,536.0,170021.91,ATM,failed
226,407-4936046-5852304,399,15774393,4/30/2022,5:44:00,deposit,685.0,-685.0,ATM,succes
227,407-4936046-5852304,399,15676895,4/30/2022,6:55:00,payment,599.0,73997.15,mobile,failed
228,402-9580874-3525948,399,15637753,4/30/2022,21:06:00,withdrawal,694.0,96194.39,ATM,failed
229,404-7426070-1355530,399,15605461,4/30/2022,3:12:00,deposit,506.0,130324.22,mobile,succes
230,406-4878137-1126707,399,15808473,4/30/2022,8:56:00,deposit,635.0,-635.0,ATM,succes
231,171-3505516-3505949,399,15627000,4/30/2022,4:29:00,deposit,813.0,-813.0,branch,succes
232,406-6199849-7523514,399,15787174,4/30/2022,23:33:00,transfer,477.0,-477.0,online,failed
233,406-6180074-2350757,399,15723886,4/30/2022,1:48:00,withdrawal,695.0,119019.25,mobile,failed
234,406-6180074-2350757,399,15704769,4/30/2022,5:42:00,payment,670.0,113308.97,branch,failed
235,406-2403215-8361103,399,15772896,4/30/2022,10:10:00,payment,617.0,99543.75,branch,failed
236,404-6578109-5618751,399,15711540,4/30/2022,11:32:00,deposit,668.0,-668.0,ATM,succes
237,407-2307966-4961113,399,15764866,4/30/2022,9:55:00,payment,683.0,115537.5,mobile,succes
238,404-5539778-0029904,399,15794056,4/30/2022,3:17:00,transfer,361.0,-361.0,online,succes
239,171-6222676-0740318,399,15795149,4/30/2022,15:14:00,withdrawal,804.0,80369.83,branch,succes
240,403-2166075-2254703,399,15812009,4/30/2022,7:14:00,withdrawal,538.0,-538.0,branch,succes
241,407-5766340-7411567,399,15651001,4/30/2022,13:18:00,deposit,494.0,116309.8,mobile,failed
242,404-0634392-1837110,399,15813844,4/30/2022,10:09:00,deposit,521.0,105440.68,ATM,succes
243,408-2759943-9849959,399,15596175,4/30/2022,9:20:00,transfer,360.0,117051.6,branch,succes
244,403-5977671-8855508,399,15576269,4/30/2022,16:41:00,payment,428.0,-428.0,branch,failed
245,408-9321153-0591557,399,15797219,4/30/2022,3:47:00,withdrawal,455.0,123042.58,branch,succes
246,404-0696150-3898703,399,15685500,4/30/2022,12:57:00,deposit,677.0,151723.51,ATM,failed
247,406-7586136-6520337,399,15599792,4/30/2022,21:10:00,payment,736.0,-736.0,online,failed
248,407-6146457-8788352,399,15657566,4/30/2022,4:20:00,payment,506.0,102591.85,mobile,failed
249,404-8514200-3544346,399,15772423,4/30/2022,6:38:00,deposit,687.0,125731.14,branch,failed
250,404-7452877-2137949,399,15628112,4/30/2022,0:22:00,deposit,779.0,77067.9,online,failed
251,402-2703790-2816329,399,15753754,4/30/2022,8:41:00,transfer,639.0,-639.0,mobile,succes
252,407-1515930-8661921,399,15793726,4/30/2022,7:33:00,transfer,639.0,-639.0,branch,succes
253,405-9144614-1601126,399,15694717,4/30/2022,19:29:00,deposit,503.0,79228.91,online,succes
254,407-0994909-4122733,399,15665834,4/30/2022,12:39:00,deposit,460.0,-460.0,ATM,succes
255,402-7042386-5486768,399,15765297,4/30/2022,12:04:00,withdrawal,839.0,-839.0,mobile,succes
256,403-7652993-1507525,399,15636684,4/30/2022,15:34:00,transfer,691.0,-691.0,mobile,succes
257,407-3847456-6656309,399,15592979,4/30/2022,21:57:00,transfer,833.0,36433.67,branch,failed
258,407-3847456-6656309,399,15750803,4/30/2022,9:26:00,transfer,369.0,127623.25,ATM,succes
259,171-7623384-8040337,399,15607178,4/30/2022,22:13:00,payment,704.0,54197.01,branch,failed
260,171-7623384-8040337,399,15713853,4/30/2022,18:33:00,deposit,816.0,107932.08,ATM,failed
261,171-4607096-6413920,399,15673481,4/30/2022,8:35:00,withdrawal,419.0,99487.19,ATM,failed
262,404-6783988-2006729,399,15686776,4/30/2022,19:31:00,transfer,516.0,184170.41,branch,failed
263,404-6975277-1927553,399,15673693,4/30/2022,23:56:00,withdrawal,355.0,110299.02,ATM,failed
264,402-5586272-3646748,399,15700696,4/30/2022,6:47:00,deposit,665.0,78354.8,branch,succes
265,171-6655820-6440356,399,15813163,4/30/2022,9:16:00,payment,803.0,98437.51,online,failed
266,171-1584788-8864335,399,15653857,4/30/2022,7:57:00,payment,754.0,-754.0,online,succes
267,402-0150402-0900371,399,15777076,4/30/2022,23:51:00,withdrawal,403.0,-403.0,online,succes
268,408-6791822-5493964,399,15717398,4/30/2022,18:37:00,deposit,376.0,-376.0,ATM,succes
269,405-0483874-0889137,399,15799217,4/30/2022,2:41:00,payment,529.0,51907.2,mobile,failed
270,407-5600921-2143569,399,15787071,4/30/2022,5:57:00,payment,557.0,-557.0,ATM,succes
271,404-1607808-0769930,399,15619955,4/30/2022,20:17:00,payment,563.0,99774.96,mobile,failed
272,407-5124083-2725136,399,15796505,4/30/2022,3:32:00,transfer,630.0,148667.19,ATM,failed
273,407-4766116-5412325,399,15725166,4/30/2022,14:31:00,payment,481.0,-481.0,mobile,failed
